id,app_name,is_in_39,label_39,label_id
1,腾讯地图,1,地图导航类,1
2,高德地图,1,地图导航类,1
3,口信,1,即时通信类,3
4,多闪,1,即时通信类,3
5,翼连,1,即时通信类,3
6,Soul,1,即时通信类,3
7,MOMO陌陌,1,网络社区类,4
8,可颂,1,网络社区类,4
9,拉卡拉,1,网络支付类,5
10,什么值得买,1,网上购物类,6
11,金元购,1,网上购物类,6
12,店长直聘,1,求职招聘类,11
13,奇富周转灵,1,网络借贷类,12
14,时光分期,1,网络借贷类,12
15,房天下,1,房屋租售类,13
16,熊猫医疗,1,问诊挂号类,15
17,墨鱼旅行,1,旅游服务类,16
18,春秋旅游,1,旅游服务类,16
19,旅尤圈,1,旅游服务类,16
20,美景听听,1,旅游服务类,16
21,迷你世界,1,网络游戏类,18
22,野狐围棋,1,网络游戏类,18
23,象棋,1,网络游戏类,18
24,七天学堂,1,学习教育类,19
25,作业帮,1,学习教育类,19
26,出口成章,1,学习教育类,19
27,可可英语,1,学习教育类,19
28,小星星AI陪练,1,学习教育类,19
29,快对AI,1,学习教育类,19
30,扇贝单词,1,学习教育类,19
31,欧拉AI学,1,学习教育类,19
32,每日英语听力,1,学习教育类,19
33,洋葱学园,1,学习教育类,19
34,洪恩识字,1,学习教育类,19
35,流利说,1,学习教育类,19
36,艺考志愿星,1,学习教育类,19
37,阳光高考AI志愿助手,1,学习教育类,19
38,ABC Reading,1,学习教育类,19
39,KaDa阅读,1,学习教育类,19
40,汽修宝,1,用车服务类,22
41,国都畅赢,1,投资理财类,23
42,广发期货小添财,1,投资理财类,23
43,萝卜投研,1,投资理财类,23
44,V策,1,投资理财类,23
45,中国工商银行,1,手机银行类,24
46,招商银行,1,手机银行类,24
47,广发银行,1,手机银行类,24
48,浦发银行,1,手机银行类,24
49,360AI云盘,1,邮箱云盘类,25
50,网易邮箱,1,邮箱云盘类,25
51,腾讯体育,1,在线影音类,28
52,上海杨浦,1,新闻资讯类,30
53,搜狐资讯,1,新闻资讯类,30
54,智慧万载,1,新闻资讯类,30
55,运城新闻,1,新闻资讯类,30
56,咕咚,1,运动健身类,31
57,天天跳绳,1,运动健身类,31
58,滑呗,1,运动健身类,31
59,运动世界,1,运动健身类,31
60,HD Fit Pro,1,运动健身类,31
61,Wearfit Pro,1,运动健身类,31
62,柚子轻断食,1,运动健身类,31
63,领康悦动,1,运动健身类,31
64,QQ浏览器,1,浏览器类,32
65,讯飞输入法,1,输入法类,33
66,全球学术快报,1,电子图书类,35
67,咪咕阅读,1,电子图书类,35
68,掌阅,1,电子图书类,35
69,飞卢小说,1,电子图书类,35
70,美图秀秀,1,拍摄美化类,36
71,美图设计室,1,拍摄美化类,36
72,美图证件照,1,拍摄美化类,36
73,美颜相机,1,拍摄美化类,36
74,醒图,1,拍摄美化类,36
75,B612咔叽,1,拍摄美化类,36
76,PS修图软件,1,拍摄美化类,36
77,最美映像证件照,1,拍摄美化类,36
78,扫描全能王,1,实用工具类,38
79,有道文档,1,实用工具类,38
80,小智日历,1,实用工具类,38
81,挖财记账,1,实用工具类,38
82,AI扫描,1,实用工具类,38
83,讯飞听见,1,实用工具类,38
84,乐活元,0,非39类,0
85,安兔兔AI评测,0,非39类,0
86,小元音乐圈,0,非39类,0
87,小me来,0,非39类,0
88,指南AI,0,非39类,0
89,无界AI,0,非39类,0
90,星绘,0,非39类,0
91,智谱AI,0,非39类,0
92,筑梦AI,0,非39类,0
93,火龙果智能写作,0,非39类,0
94,猫箱,0,非39类,0
95,蛋啵,0,非39类,0
96,语鲸,0,非39类,0
97,QPython,0,非39类,0
98,ChatBird,0,非39类,0
99,DeepSeek,0,非39类,0
100,MiniMax,0,非39类,0
101,AI Mate,0,非39类,0
102,Ai Max,0,非39类,0
103,月亮弯弯,0,非39类,0
104,月神星盘,0,非39类,0
105,林间聊愈室,0,非39类,0
106,通义,0,非39类,0
107,DeepTax,0,非39类,0
108,星麦云,0,非39类,0
109,AI图生视频,0,非39类,0
