app_name,permission,pred_label,gold_label,is_correct
AI作文吧,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,业务弱相关需审查,高风险异常权限,0
AI作文吧,android.permission.READ_EXTERNAL_STORAGE,业务核心必要,业务辅助合理,0
AI作文吧,android.permission.WRITE_EXTERNAL_STORAGE,业务核心必要,业务辅助合理,0
AI作文吧,android.permission.READ_MEDIA_IMAGES,业务辅助合理,业务辅助合理,1
AI作文吧,android.permission.INTERNET,业务核心必要,业务核心必要,1
AI音乐学园,android.permission.READ_PHONE_NUMBERS,业务弱相关需审查,高风险异常权限,0
AI音乐学园,android.permission.READ_MEDIA_VIDEO,业务弱相关需审查,业务辅助合理,0
AI音乐学园,android.permission.GET_TASKS,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.POST_NOTIFICATIONS,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.SYSTEM_ALERT_WINDOW,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.WAKE_LOCK,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.BLUETOOTH_CONNECT,业务弱相关需审查,业务辅助合理,0
AI音乐学园,android.permission.RECEIVE_BOOT_COMPLETED,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.WRITE_SETTINGS,业务弱相关需审查,高风险异常权限,0
AI音乐学园,android.permission.BLUETOOTH_SCAN,业务弱相关需审查,业务辅助合理,0
AI音乐学园,android.permission.ACCESS_FINE_LOCATION,业务辅助合理,业务弱相关需审查,0
AI音乐学园,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.ACCESS_BACKGROUND_LOCATION,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.BLUETOOTH,业务弱相关需审查,业务辅助合理,0
AI音乐学园,android.permission.VIBRATE,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.INTERNET,业务核心必要,业务核心必要,1
AI音乐学园,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,业务弱相关需审查,高风险异常权限,0
AI音乐学园,android.permission.BLUETOOTH_ADVERTISE,业务弱相关需审查,业务辅助合理,0
AI音乐学园,android.permission.CHANGE_NETWORK_STATE,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.READ_LOGS,业务弱相关需审查,高风险异常权限,0
AI音乐学园,android.permission.READ_EXTERNAL_STORAGE,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.ACCESS_WIFI_STATE,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.WRITE_EXTERNAL_STORAGE,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.CAMERA,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.KILL_BACKGROUND_PROCESSES,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.MODIFY_AUDIO_SETTINGS,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.QUERY_ALL_PACKAGES,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.READ_MEDIA_IMAGES,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.CHANGE_WIFI_STATE,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.CAPTURE_AUDIO_OUTPUT,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.READ_MEDIA_AUDIO,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.BLUETOOTH_ADMIN,业务弱相关需审查,业务弱相关需审查,1
AI音乐学园,android.permission.ACCESS_NETWORK_STATE,业务核心必要,业务辅助合理,0
AI音乐学园,android.permission.RECORD_AUDIO,业务辅助合理,业务核心必要,0
AI音乐学园,android.permission.ACCESS_COARSE_LOCATION,业务辅助合理,业务辅助合理,1
AI音乐学园,android.permission.REQUEST_INSTALL_PACKAGES,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.CHANGE_WIFI_STATE,业务辅助合理,业务辅助合理,1
Character,android.permission.CHANGE_NETWORK_STATE,业务辅助合理,业务辅助合理,1
Character,android.permission.ACCESS_NETWORK_STATE,业务辅助合理,业务辅助合理,1
Character,android.permission.READ_EXTERNAL_STORAGE,业务辅助合理,业务辅助合理,1
Character,android.permission.ACCESS_WIFI_STATE,业务辅助合理,业务辅助合理,1
Character,android.permission.WRITE_EXTERNAL_STORAGE,业务辅助合理,业务辅助合理,1
Character,android.permission.MANAGE_EXTERNAL_STORAGE,业务核心必要,高风险异常权限,0
Character,android.permission.WAKE_LOCK,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.REQUEST_INSTALL_PACKAGES,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.SYSTEM_ALERT_WINDOW,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.REORDER_TASKS,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.VIBRATE,业务弱相关需审查,业务弱相关需审查,1
Character,android.permission.INTERNET,业务核心必要,业务核心必要,1
ChatPPT生成,android.permission.READ_MEDIA_VIDEO,业务弱相关需审查,业务辅助合理,0
ChatPPT生成,android.permission.FOREGROUND_SERVICE,业务弱相关需审查,业务弱相关需审查,1
ChatPPT生成,android.permission.POST_NOTIFICATIONS,业务辅助合理,业务辅助合理,1
ChatPPT生成,android.permission.WAKE_LOCK,业务弱相关需审查,业务弱相关需审查,1
