app_name,sample_count,accuracy,macro_precision,macro_recall,macro_f1,micro_f1,weighted_f1
腾讯地图,41,0.609756,0.39697,0.464615,0.413646,0.609756,0.547644
健管助手,39,0.487179,0.324444,0.477922,0.324651,0.487179,0.457054
汽修宝,39,0.641026,0.356905,0.51746,0.362974,0.641026,0.630605
AI音乐学园,36,0.666667,0.385375,0.406667,0.38583,0.666667,0.623257
艺品品,26,0.538462,0.305714,0.383636,0.338462,0.538462,0.465976
麦兔科技,26,0.884615,0.452381,0.565714,0.475188,0.884615,0.883603
月神星盘,24,0.625,0.343333,0.487179,0.368312,0.625,0.58539
什么值得买,23,0.913043,0.483333,0.563636,0.504638,0.913043,0.916887
句子控,22,0.818182,0.36,0.355556,0.352778,0.818182,0.877525
狐说英语,19,0.736842,0.403846,0.4,0.393913,0.736842,0.699771
筑梦AI,17,0.764706,0.416667,0.498413,0.408846,0.764706,0.803507
KaDa阅读,16,0.6875,0.4,0.533333,0.42,0.6875,0.63125
ChatPPT生成,14,0.857143,0.466667,0.571429,0.499767,0.857143,0.833833
Character,13,0.923077,0.5,0.6,0.533333,0.923077,0.897436
AI作文吧,5,0.4,0.266667,0.266667,0.2,0.4,0.4
