app_name,report_type,structure_total,structure_hit,structure_rate,evidence_total,evidence_hit,evidence_rate,report_path
168运友物流,隐私政策-权限,5,5,1.0,28,28,1.0,D:\桌面\毕设\code\output\168运友物流\隐私政策和权限分析结果.md
360AI云盘,隐私政策-权限,5,5,1.0,46,46,1.0,D:\桌面\毕设\code\output\360AI云盘\隐私政策和权限分析结果.md
ABC Reading,隐私政策-权限,5,5,1.0,52,52,1.0,D:\桌面\毕设\code\output\ABC Reading\隐私政策和权限分析结果.md
AI Mate,隐私政策-权限,5,5,1.0,27,27,1.0,D:\桌面\毕设\code\output\AI Mate\隐私政策和权限分析结果.md
Ai Max,隐私政策-权限,5,5,1.0,31,31,1.0,D:\桌面\毕设\code\output\Ai Max\隐私政策和权限分析结果.md
AiPPT,隐私政策-权限,5,5,1.0,44,44,1.0,D:\桌面\毕设\code\output\AiPPT\隐私政策和权限分析结果.md
AI作文吧,隐私政策-权限,5,5,1.0,6,6,1.0,D:\桌面\毕设\code\output\AI作文吧\隐私政策和权限分析结果.md
AI修复老照片,隐私政策-权限,5,5,1.0,24,24,1.0,D:\桌面\毕设\code\output\AI修复老照片\隐私政策和权限分析结果.md
AI写歌嗨玩音乐,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\AI写歌嗨玩音乐\隐私政策和权限分析结果.md
AI创作专家,隐私政策-权限,5,5,1.0,42,42,1.0,D:\桌面\毕设\code\output\AI创作专家\隐私政策和权限分析结果.md
AI图生视频,隐私政策-权限,5,5,1.0,18,18,1.0,D:\桌面\毕设\code\output\AI图生视频\隐私政策和权限分析结果.md
AI好记,隐私政策-权限,5,5,1.0,34,34,1.0,D:\桌面\毕设\code\output\AI好记\隐私政策和权限分析结果.md
AI扫描,隐私政策-权限,5,5,1.0,39,39,1.0,D:\桌面\毕设\code\output\AI扫描\隐私政策和权限分析结果.md
AI智能写手,隐私政策-权限,5,5,1.0,32,32,1.0,D:\桌面\毕设\code\output\AI智能写手\隐私政策和权限分析结果.md
AI照片修复,隐私政策-权限,5,5,1.0,13,13,1.0,D:\桌面\毕设\code\output\AI照片修复\隐私政策和权限分析结果.md
AI特效相机,隐私政策-权限,5,5,1.0,31,31,1.0,D:\桌面\毕设\code\output\AI特效相机\隐私政策和权限分析结果.md
AI粘土特效相机,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\AI粘土特效相机\隐私政策和权限分析结果.md
AI美颜修视频,隐私政策-权限,5,5,1.0,22,22,1.0,D:\桌面\毕设\code\output\AI美颜修视频\隐私政策和权限分析结果.md
AI视频绘图写作精灵,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\AI视频绘图写作精灵\隐私政策和权限分析结果.md
AI试发型,隐私政策-权限,5,5,1.0,23,23,1.0,D:\桌面\毕设\code\output\AI试发型\隐私政策和权限分析结果.md
ai调音器,隐私政策-权限,5,5,1.0,7,7,1.0,D:\桌面\毕设\code\output\ai调音器\隐私政策和权限分析结果.md
AI通话,隐私政策-权限,5,5,1.0,48,48,1.0,D:\桌面\毕设\code\output\AI通话\隐私政策和权限分析结果.md
AI音乐学园,隐私政策-权限,5,5,1.0,52,52,1.0,D:\桌面\毕设\code\output\AI音乐学园\隐私政策和权限分析结果.md
AI魔效相机,隐私政策-权限,5,5,1.0,30,30,1.0,D:\桌面\毕设\code\output\AI魔效相机\隐私政策和权限分析结果.md
B612咔叽,隐私政策-权限,5,5,1.0,48,48,1.0,D:\桌面\毕设\code\output\B612咔叽\隐私政策和权限分析结果.md
Canva可画,隐私政策-权限,5,5,1.0,45,45,1.0,D:\桌面\毕设\code\output\Canva可画\隐私政策和权限分析结果.md
Character,隐私政策-权限,5,5,1.0,17,17,1.0,D:\桌面\毕设\code\output\Character\隐私政策和权限分析结果.md
ChatBird,隐私政策-权限,5,5,1.0,37,37,1.0,D:\桌面\毕设\code\output\ChatBird\隐私政策和权限分析结果.md
ChatPPT生成,隐私政策-权限,5,5,1.0,26,26,1.0,D:\桌面\毕设\code\output\ChatPPT生成\隐私政策和权限分析结果.md
DeepAI智能秘书,隐私政策-权限,5,5,1.0,21,21,1.0,D:\桌面\毕设\code\output\DeepAI智能秘书\隐私政策和权限分析结果.md
DeepSeek,隐私政策-权限,5,5,1.0,9,9,1.0,D:\桌面\毕设\code\output\DeepSeek\隐私政策和权限分析结果.md
DeepTax,隐私政策-权限,5,5,1.0,51,51,1.0,D:\桌面\毕设\code\output\DeepTax\隐私政策和权限分析结果.md
flomo浮墨笔记,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\flomo浮墨笔记\隐私政策和权限分析结果.md
HD Fit Pro,隐私政策-权限,5,5,1.0,44,44,1.0,D:\桌面\毕设\code\output\HD Fit Pro\隐私政策和权限分析结果.md
Hobby,隐私政策-权限,5,5,1.0,62,62,1.0,D:\桌面\毕设\code\output\Hobby\隐私政策和权限分析结果.md
KaDa阅读,隐私政策-权限,5,5,1.0,20,20,1.0,D:\桌面\毕设\code\output\KaDa阅读\隐私政策和权限分析结果.md
MiniMax,隐私政策-权限,5,5,1.0,33,33,1.0,D:\桌面\毕设\code\output\MiniMax\隐私政策和权限分析结果.md
Molica AI,隐私政策-权限,5,5,1.0,51,51,1.0,D:\桌面\毕设\code\output\Molica AI\隐私政策和权限分析结果.md
