app_name,report_type,structure_total,structure_hit,structure_rate,evidence_total,evidence_hit,evidence_rate,report_path
168运友物流,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\168运友物流\国标和隐私政策分析结果.md
360AI云盘,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\360AI云盘\国标和隐私政策分析结果.md
ABC Reading,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\ABC Reading\国标和隐私政策分析结果.md
AI Mate,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\AI Mate\国标和隐私政策分析结果.md
Ai Max,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\Ai Max\国标和隐私政策分析结果.md
AiPPT,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\AiPPT\国标和隐私政策分析结果.md
AI作文吧,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\AI作文吧\国标和隐私政策分析结果.md
AI修复老照片,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\AI修复老照片\国标和隐私政策分析结果.md
AI写歌嗨玩音乐,国标-隐私政策,9,9,1.0,5,5,1.0,D:\桌面\毕设\code\output\AI写歌嗨玩音乐\国标和隐私政策分析结果.md
AI创作专家,国标-隐私政策,9,9,1.0,5,5,1.0,D:\桌面\毕设\code\output\AI创作专家\国标和隐私政策分析结果.md
AI图生视频,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\AI图生视频\国标和隐私政策分析结果.md
AI好记,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\AI好记\国标和隐私政策分析结果.md
AI扫描,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\AI扫描\国标和隐私政策分析结果.md
AI智能写手,国标-隐私政策,9,9,1.0,1,1,1.0,D:\桌面\毕设\code\output\AI智能写手\国标和隐私政策分析结果.md
AI照片修复,国标-隐私政策,9,9,1.0,5,5,1.0,D:\桌面\毕设\code\output\AI照片修复\国标和隐私政策分析结果.md
AI特效相机,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\AI特效相机\国标和隐私政策分析结果.md
AI粘土特效相机,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\AI粘土特效相机\国标和隐私政策分析结果.md
AI美颜修视频,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\AI美颜修视频\国标和隐私政策分析结果.md
AI视频绘图写作精灵,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\AI视频绘图写作精灵\国标和隐私政策分析结果.md
AI试发型,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\AI试发型\国标和隐私政策分析结果.md
ai调音器,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\ai调音器\国标和隐私政策分析结果.md
AI通话,国标-隐私政策,9,9,1.0,5,5,1.0,D:\桌面\毕设\code\output\AI通话\国标和隐私政策分析结果.md
AI音乐学园,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\AI音乐学园\国标和隐私政策分析结果.md
AI魔效相机,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\AI魔效相机\国标和隐私政策分析结果.md
B612咔叽,国标-隐私政策,9,9,1.0,2,2,1.0,D:\桌面\毕设\code\output\B612咔叽\国标和隐私政策分析结果.md
Canva可画,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\Canva可画\国标和隐私政策分析结果.md
Character,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\Character\国标和隐私政策分析结果.md
ChatBird,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\ChatBird\国标和隐私政策分析结果.md
ChatPPT生成,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\ChatPPT生成\国标和隐私政策分析结果.md
DeepAI智能秘书,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\DeepAI智能秘书\国标和隐私政策分析结果.md
DeepSeek,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\DeepSeek\国标和隐私政策分析结果.md
DeepTax,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\DeepTax\国标和隐私政策分析结果.md
flomo浮墨笔记,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\flomo浮墨笔记\国标和隐私政策分析结果.md
HD Fit Pro,国标-隐私政策,9,9,1.0,3,3,1.0,D:\桌面\毕设\code\output\HD Fit Pro\国标和隐私政策分析结果.md
Hobby,国标-隐私政策,9,9,1.0,4,4,1.0,D:\桌面\毕设\code\output\Hobby\国标和隐私政策分析结果.md
