app_name,pipeline_name,success,return_code,latency_total_s,rag_latency_s,llm_inference_time_s,prompt_tokens,completion_tokens,total_tokens,token_cost,throughput_app_per_hour,timing_json
KB_BUILD,向量化建库,1,0,0.010618,0.0,0.0,0,0,0,0.0,,E:\exper\results\raw\KB_BUILD\timing.json
AI作文吧,隐私政策和权限分析,1,0,42.141146,0.0,42.025273,16935,1992,18927,0.0104595,85.427197,E:\exper\results\raw\隐私政策和权限分析\AI作文吧\timing.json
AI作文吧,国标和隐私政策分析,1,0,58.150771,0.35622,50.252162,28058,3576,31634,0.017605,61.908036,E:\exper\results\raw\国标和隐私政策分析\AI作文吧\timing.json
AI作文吧,国标和权限分析,1,0,32.785919,0.830874,29.838573,28092,1189,29281,0.015235,109.803236,E:\exper\results\raw\国标和权限分析\AI作文吧\timing.json
AI音乐学园,隐私政策和权限分析,1,0,65.73566,0.0,64.869959,32381,3372,35753,0.0195625,54.764796,E:\exper\results\raw\隐私政策和权限分析\AI音乐学园\timing.json
AI音乐学园,国标和隐私政策分析,1,0,100.697362,0.017924,93.140582,27613,3490,31103,0.0172965,35.750688,E:\exper\results\raw\国标和隐私政策分析\AI音乐学园\timing.json
AI音乐学园,国标和权限分析,1,0,262.693974,0.026543,260.454691,193615,10341,203956,0.1071485,13.704159,E:\exper\results\raw\国标和权限分析\AI音乐学园\timing.json
Character,隐私政策和权限分析,1,0,34.963764,0.0,34.749105,18930,1562,20492,0.011027,102.963742,E:\exper\results\raw\隐私政策和权限分析\Character\timing.json
Character,国标和隐私政策分析,1,0,51.976845,0.017379,44.410836,25728,3375,29103,0.016239,69.26161,E:\exper\results\raw\国标和隐私政策分析\Character\timing.json
Character,国标和权限分析,1,0,66.3812,0.653512,63.665213,74619,2566,77185,0.0398755,54.232223,E:\exper\results\raw\国标和权限分析\Character\timing.json
ChatPPT生成,隐私政策和权限分析,1,0,27.895619,0.0,27.630348,14789,1656,16445,0.0090505,129.052524,E:\exper\results\raw\隐私政策和权限分析\ChatPPT生成\timing.json
ChatPPT生成,国标和隐私政策分析,1,0,52.084811,0.018329,44.519528,27008,3467,30475,0.016971,69.118039,E:\exper\results\raw\国标和隐私政策分析\ChatPPT生成\timing.json
ChatPPT生成,国标和权限分析,1,0,86.280448,0.021823,84.208718,45763,2792,48555,0.0256735,41.724401,E:\exper\results\raw\国标和权限分析\ChatPPT生成\timing.json
KaDa阅读,隐私政策和权限分析,1,0,51.126882,0.0,50.789337,24837,2998,27835,0.0154165,70.413055,E:\exper\results\raw\隐私政策和权限分析\KaDa阅读\timing.json
KaDa阅读,国标和隐私政策分析,1,0,70.505862,0.015236,62.933299,27723,4076,31799,0.0179375,51.059584,E:\exper\results\raw\国标和隐私政策分析\KaDa阅读\timing.json
KaDa阅读,国标和权限分析,1,0,111.761161,0.026875,109.652019,87314,3283,90597,0.04694,32.211548,E:\exper\results\raw\国标和权限分析\KaDa阅读\timing.json
什么值得买,隐私政策和权限分析,1,0,135.683537,0.0,134.908508,32345,5557,37902,0.0217295,26.532327,E:\exper\results\raw\隐私政策和权限分析\什么值得买\timing.json
什么值得买,国标和隐私政策分析,1,0,78.635352,0.018396,71.053133,27868,3717,31585,0.017651,45.780936,E:\exper\results\raw\国标和隐私政策分析\什么值得买\timing.json
什么值得买,国标和权限分析,1,0,161.167097,0.69688,158.332855,115970,6360,122330,0.064345,22.337066,E:\exper\results\raw\国标和权限分析\什么值得买\timing.json
健管助手,隐私政策和权限分析,1,0,74.939626,0.0,74.007552,27118,3953,31071,0.017512,48.038671,E:\exper\results\raw\隐私政策和权限分析\健管助手\timing.json
健管助手,国标和隐私政策分析,1,0,48.557975,0.017055,40.965377,26953,3173,30126,0.0166495,74.138183,E:\exper\results\raw\国标和隐私政策分析\健管助手\timing.json
健管助手,国标和权限分析,1,0,207.35474,0.550719,204.639579,298145,7320,305465,0.1563925,17.361551,E:\exper\results\raw\国标和权限分析\健管助手\timing.json
句子控,隐私政策和权限分析,1,0,71.19195,0.0,70.645371,22549,4076,26625,0.0153505,50.567515,E:\exper\results\raw\隐私政策和权限分析\句子控\timing.json
句子控,国标和隐私政策分析,1,0,71.481794,0.015203,63.916685,27018,3210,30228,0.016719,50.362474,E:\exper\results\raw\国标和隐私政策分析\句子控\timing.json
句子控,国标和权限分析,1,0,107.311062,0.021343,105.201138,72086,4345,76431,0.040388,33.547334,E:\exper\results\raw\国标和权限分析\句子控\timing.json
月神星盘,隐私政策和权限分析,1,0,40.11689,0.0,39.91199,9643,2090,11733,0.0069115,89.737765,E:\exper\results\raw\隐私政策和权限分析\月神星盘\timing.json
月神星盘,国标和隐私政策分析,1,0,61.770496,0.016593,54.193811,27643,3392,31035,0.0172135,58.280251,E:\exper\results\raw\国标和隐私政策分析\月神星盘\timing.json
月神星盘,国标和权限分析,1,0,105.58861,0.0195,103.498149,78436,4797,83233,0.044015,34.094587,E:\exper\results\raw\国标和权限分析\月神星盘\timing.json
汽修宝,隐私政策和权限分析,1,0,75.653235,0.0,74.935796,31867,2628,34495,0.0185615,47.58554,E:\exper\results\raw\隐私政策和权限分析\汽修宝\timing.json
汽修宝,国标和隐私政策分析,1,0,63.369072,0.016427,55.81336,28283,3579,31862,0.0177205,56.810048,E:\exper\results\raw\国标和隐私政策分析\汽修宝\timing.json
汽修宝,国标和权限分析,1,0,199.128181,0.64651,196.330633,224640,8629,233269,0.120949,18.078807,E:\exper\results\raw\国标和权限分析\汽修宝\timing.json
狐说英语,隐私政策和权限分析,1,0,23.098296,0.0,22.943712,8506,1325,9831,0.005578,155.855654,E:\exper\results\raw\隐私政策和权限分析\狐说英语\timing.json
狐说英语,国标和隐私政策分析,1,0,56.753098,0.015967,49.208304,26933,3246,30179,0.0167125,63.432661,E:\exper\results\raw\国标和隐私政策分析\狐说英语\timing.json
狐说英语,国标和权限分析,1,0,111.392114,0.012274,109.316374,99433,4284,103717,0.0540005,32.318266,E:\exper\results\raw\国标和权限分析\狐说英语\timing.json
